Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
P2P-31cab5ok,1,1.0,44000.0,1,44000.0,0.0
P2P-3ba6absy,1,1.0,4900.0,1,4900.0,0.0
P2P-9e6860ta,1,1.0,8945.4,1,8945.4,0.0
Aleuzenev1992,1,1.0,5425.22,1,5425.22,0.0
SEBROS,1,1.0,2102.37,1,2102.37,0.0
P2P-21c2c6qo,1,1.0,4562.28,1,4562.28,0.0
P2P-883adezd,1,1.0,7150.0,1,7150.0,0.0
P2P-7853865x,1,1.0,20310.23,1,20310.23,0.0
Falvez86,1,1.0,9448.04,1,9448.04,0.0
P2P-306869s8,1,1.0,16000.0,1,16000.0,0.0
P2P-13997bfq,1,1.0,8000.0,1,8000.0,0.0
P2P-4b8ad0ug,1,1.0,5000.0,1,5000.0,0.0
ACEM_MVD,1,1.0,8980.0,1,8980.0,0.0
P2P-f82ccbmg,1,1.0,2813.73,1,2813.73,0.0
Cosmo_Change,1,1.0,667.0,1,667.0,0.0
miisvo,1,1.0,227.0,1,227.0,0.0
Guille13,1,1.0,1600.0,1,1600.0,0.0
P2P-5249e3nq,1,2.0,107349.84,2,107349.84,11.6
Ronuk,1,1.0,33512.23,1,33512.23,0.0
P2P-fa1bf4gd,1,1.0,1000.0,1,1000.0,0.0
P2P-6b5571x4,1,1.0,1500.0,1,1500.0,0.0
P2P-b96d19lo,1,1.0,836.0,1,836.0,0.0
P2P-53f3883o,1,1.0,285.0,1,285.0,0.0
P2P-94df26ob,1,1.0,15000.0,1,15000.0,0.0
ArmanddUSDT,1,1.0,12000.0,1,12000.0,0.0
P2P-9102c9uz,1,1.0,22459.0,1,22459.0,0.0
P2P-3dca90jq,1,1.0,736.32,1,736.32,0.0
P2P-6d8f04rk,1,1.0,27450.0,1,27450.0,0.0
P2P-b5324bhc,1,1.0,20000.0,1,20000.0,0.0
P2P-64f581sr,1,1.0,13306.41,1,13306.41,0.0
P2P-d8ab33au,1,2.0,12000.0,2,12000.0,77.71666666666667
P2P-63b24ckm,1,1.0,21000.0,1,21000.0,0.0
Ludopata,1,1.0,500.0,1,500.0,0.0
P2P-2b04dcyl,1,1.0,8000.0,1,8000.0,0.0
P2P-cdf4eefj,1,1.0,6180.16,1,6180.16,0.0
P2P-c8d34aot,1,1.0,478.56,1,478.56,0.0
Gastoniwcc,1,1.0,500.0,1,500.0,0.0
P2P-ec65c65w,1,1.0,29317.86,1,29317.86,0.0
P2P-6c79d2ws,1,1.0,14704.85,1,14704.85,0.0
gustapelu,1,1.0,200.0,1,200.0,0.0
P2P-b70609bj,1,1.0,1716.83,1,1716.83,0.0
P2P-95cdffle,1,2.0,74938.22,2,74938.22,73.66666666666667
xxsoadxx,1,1.0,100.0,1,100.0,0.0
P2P-09ee271f,1,1.0,21150.0,1,21150.0,0.0
P2P-898704yt,1,1.0,19900.0,1,19900.0,0.0
P2P-cb2ff69y,1,1.0,100.0,1,100.0,0.0
P2P-eaef2b3q,1,2.0,75266.64,2,75266.64,15.5
JoacoRSC,1,1.0,529.07,1,529.07,0.0
P2P-305b9ajr,1,1.0,1000.0,1,1000.0,0.0
Rikimaffei,1,1.0,1500.0,1,1500.0,0.0
BrianCryptos,1,1.0,60000.0,1,60000.0,0.0
P2P-6a9e59sy,1,1.0,4494.5,1,4494.5,0.0
P2P-334f26xr,1,2.0,17726.0,2,17726.0,16.633333333333333
P2P-62b1d38x,1,1.0,23402.34,1,23402.34,0.0
P2P-a79d9blj,1,1.0,53266.56,1,53266.56,0.0
P2P-8efc2bzm,1,1.0,503.94,1,503.94,0.0
Juan,1,1.0,365.0,1,365.0,0.0
P2P-344833ni,1,2.0,28914.96,2,28914.96,49.35
P2P-05a3a5lu,1,1.0,1810.0,1,1810.0,0.0
P2P-e16811up,1,2.0,12190.0,2,12190.0,34.61666666666667
P2P-9962e8g6,1,1.0,37696.35,1,37696.35,0.0
P2P-eb9a1db5,1,1.0,54375.64,1,54375.64,0.0
P2P-f42396yf,1,2.0,28042.34,2,28042.34,46.483333333333334
P2P-1659ee7f,1,1.0,22335.28,1,22335.28,0.0
Perritomalvado,1,1.0,109.39,1,109.39,0.0
P2P-40f1cfdx,1,1.0,18058.69,1,18058.69,0.0
Varo,1,1.0,15000.0,1,15000.0,0.0
P2P-798968e1,1,1.0,15057.41,1,15057.41,0.0
RAMZEZERG,1,2.0,40000.0,2,40000.0,16.25
P2P-a8323cji,1,1.0,22379.82,1,22379.82,0.0
P2P-db4843fh,1,1.0,1250.0,1,1250.0,0.0
P2P-a4c02fyy,1,2.0,999.88,2,999.88,10.2
P2P-2497cbv2,1,1.0,38412.0,1,38412.0,0.0
P2P-26e006xl,1,1.0,60000.0,1,60000.0,0.0
P2P-c2ec99nk,1,1.0,22420.0,1,22420.0,0.0
P2P-86b252c6,1,1.0,499.94,1,499.94,0.0
