session_id,num_operations,total_volume,volume_volatility,q75_volume,q25_volume,session_start,session_end,duration_minutes,volume_iqr,volume_efficiency,consistency_score,intensity_score
801,1,500.0,,500.0,500.0,2024-03-20T10:52:46.000000-0300,2024-03-20T10:52:46.000000-0300,0.0,0.0,50000.0,,100.0
557,1,200.0,,200.0,200.0,2023-11-28T12:28:47.000000-0300,2023-11-28T12:28:47.000000-0300,0.0,0.0,20000.0,,100.0
18,1,21400.0,,21400.0,21400.0,2022-04-26T18:39:11.000000-0300,2022-04-26T18:39:11.000000-0300,0.0,0.0,2140000.0,,100.0
399,1,162.35,,162.35,162.35,2023-09-23T10:08:27.000000-0300,2023-09-23T10:08:27.000000-0300,0.0,0.0,16235.0,,100.0
1057,1,2100.0,,2100.0,2100.0,2025-05-08T14:59:52.000000-0300,2025-05-08T14:59:52.000000-0300,0.0,0.0,210000.0,,100.0
265,1,16482.0,,16482.0,16482.0,2023-04-11T15:21:53.000000-0300,2023-04-11T15:21:53.000000-0300,0.0,0.0,1648200.0,,100.0
938,2,20000.0,7071.067811865475,15000.0,5000.0,2025-03-13T14:05:31.000000-0300,2025-03-13T14:34:14.000000-0300,28.716666666666665,10000.0,696.4596633778294,2.8284271247461903,0.06964596633778294
819,1,400.0,,400.0,400.0,2024-03-27T15:27:26.000000-0300,2024-03-27T15:27:26.000000-0300,0.0,0.0,40000.0,,100.0
411,1,100.0,,100.0,100.0,2023-09-28T19:19:31.000000-0300,2023-09-28T19:19:31.000000-0300,0.0,0.0,10000.0,,100.0
155,1,1380.38,,1380.38,1380.38,2022-09-20T16:57:45.000000-0300,2022-09-20T16:57:45.000000-0300,0.0,0.0,138038.0,,100.0
1075,1,8000.0,,8000.0,8000.0,2025-05-14T11:38:51.000000-0300,2025-05-14T11:38:51.000000-0300,0.0,0.0,800000.0,,100.0
658,1,450.0,,450.0,450.0,2023-12-15T15:52:07.000000-0300,2023-12-15T15:52:07.000000-0300,0.0,0.0,45000.0,,100.0
426,1,384.0,,384.0,384.0,2023-10-13T09:19:07.000000-0300,2023-10-13T09:19:07.000000-0300,0.0,0.0,38400.0,,100.0
673,1,10000.0,,10000.0,10000.0,2023-12-24T10:47:38.000000-0300,2023-12-24T10:47:38.000000-0300,0.0,0.0,1000000.0,,100.0
810,1,2000.0,,2000.0,2000.0,2024-03-21T21:12:22.000000-0300,2024-03-21T21:12:22.000000-0300,0.0,0.0,200000.0,,100.0
283,2,335.0,95.45941546018392,235.0,100.0,2023-05-08T12:15:00.000000-0300,2023-05-08T12:38:08.000000-0300,23.133333333333333,135.0,14.481268011527378,3.5093447658887915,0.08645533141210375
667,1,10000.0,,10000.0,10000.0,2023-12-20T14:42:37.000000-0300,2023-12-20T14:42:37.000000-0300,0.0,0.0,1000000.0,,100.0
1078,2,22800.0,1979.8989873223331,12800.0,10000.0,2025-05-15T12:39:13.000000-0300,2025-05-15T12:43:36.000000-0300,4.383333333333333,2800.0,5201.520912547529,11.5157390078952,0.4562737642585552
149,2,3200.0,1838.4776310850236,2900.0,300.0,2022-09-16T16:16:49.000000-0300,2022-09-16T16:29:20.000000-0300,12.516666666666666,2600.0,255.659121171771,1.7405705383053478,0.15978695073235688
1072,1,8500.0,,8500.0,8500.0,2025-05-13T14:19:55.000000-0300,2025-05-13T14:19:55.000000-0300,0.0,0.0,850000.0,,100.0
21,1,2000.0,,2000.0,2000.0,2022-04-28T23:14:58.000000-0300,2022-04-28T23:14:58.000000-0300,0.0,0.0,200000.0,,100.0
548,2,72925.91,36010.05629909581,61925.91,11000.0,2023-11-25T21:14:22.000000-0300,2023-11-25T21:23:20.000000-0300,8.966666666666667,50925.91,8133.001115241636,2.025154012376013,0.22304832713754646
30,1,4500.0,,4500.0,4500.0,2022-05-02T14:02:03.000000-0300,2022-05-02T14:02:03.000000-0300,0.0,0.0,450000.0,,100.0
396,1,200.0,,200.0,200.0,2023-09-20T22:37:24.000000-0300,2023-09-20T22:37:24.000000-0300,0.0,0.0,20000.0,,100.0
24,1,20000.0,,20000.0,20000.0,2022-04-30T20:57:33.000000-0300,2022-04-30T20:57:33.000000-0300,0.0,0.0,2000000.0,,100.0
161,1,1141.8,,1141.8,1141.8,2022-09-30T14:53:34.000000-0300,2022-09-30T14:53:34.000000-0300,0.0,0.0,114180.0,,100.0
143,1,15241.0,,15241.0,15241.0,2022-09-14T10:08:31.000000-0300,2022-09-14T10:08:31.000000-0300,0.0,0.0,1524100.0,,100.0
414,1,100.0,,100.0,100.0,2023-10-01T11:50:54.000000-0300,2023-10-01T11:50:54.000000-0300,0.0,0.0,10000.0,,100.0
268,1,12999.9,,12999.9,12999.9,2023-04-24T10:41:19.000000-0300,2023-04-24T10:41:19.000000-0300,0.0,0.0,1299990.0,,100.0
12,1,1060.0,,1060.0,1060.0,2022-04-20T16:52:07.000000-0300,2022-04-20T16:52:07.000000-0300,0.0,0.0,106000.0,,100.0
536,5,2500.0,291.547594742265,500.0,300.0,2023-11-22T10:54:47.000000-0300,2023-11-22T11:27:09.000000-0300,32.36666666666667,200.0,77.2399588053553,8.574929257125442,0.15447991761071062
3,2,2408.0,288.4995667241114,1408.0,1000.0,2022-04-07T10:15:37.000000-0300,2022-04-07T10:21:32.000000-0300,5.916666666666667,408.0,406.9859154929577,8.34663298577062,0.3380281690140845
1069,2,4105.0,2754.1809127216025,4000.0,105.0,2025-05-12T15:23:30.000000-0300,2025-05-12T15:43:29.000000-0300,19.983333333333334,3895.0,205.4211843202669,1.4904612769041221,0.1000834028356964
926,1,500.0,,500.0,500.0,2024-08-17T01:18:34.000000-0300,2024-08-17T01:18:34.000000-0300,0.0,0.0,50000.0,,100.0
1066,1,208.25,,208.25,208.25,2025-05-10T14:48:39.000000-0300,2025-05-10T14:48:39.000000-0300,0.0,0.0,20825.0,,100.0
